epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1158.76,0.59905,0.78056,1.08105,0.9012,0.89399,0.94873,0.78498,0.81733,0.5689,1.2306,0.000107726,0.000107726,0.000107726
43,1186.13,0.57999,0.74268,1.06874,0.91534,0.85836,0.94987,0.77908,0.84443,0.61335,1.26468,0.000102231,0.000102231,0.000102231
44,1213.47,0.57946,0.74761,1.06997,0.94112,0.86206,0.95618,0.76034,0.8926,0.58285,1.30728,9.67365e-05,9.67365e-05,9.67365e-05
45,1241.12,0.58214,0.73274,1.06616,0.91296,0.88699,0.9467,0.78309,0.82176,0.60558,1.25421,9.1242e-05,9.1242e-05,9.1242e-05
46,1268.26,0.56999,0.71808,1.06676,0.9203,0.87431,0.95552,0.80841,0.75065,0.58299,1.18377,8.57475e-05,8.57475e-05,8.57475e-05
47,1295.21,0.58769,0.71293,1.07503,0.89536,0.8833,0.9481,0.77347,0.83251,0.60433,1.26652,8.0253e-05,8.0253e-05,8.0253e-05
48,1322.62,0.56884,0.69812,1.05549,0.91812,0.86416,0.95462,0.78237,0.83275,0.60525,1.27004,7.47585e-05,7.47585e-05,7.47585e-05
49,1350.26,0.55548,0.6751,1.04657,0.9482,0.85653,0.96184,0.76165,0.91879,0.56239,1.34345,6.9264e-05,6.9264e-05,6.9264e-05
50,1377.11,0.56982,0.69689,1.06187,0.92556,0.856,0.94527,0.76329,0.8664,0.59527,1.29596,6.37695e-05,6.37695e-05,6.37695e-05
51,1405.08,0.41728,0.5072,0.98847,0.91762,0.8793,0.94106,0.7516,0.87548,0.60751,1.30664,5.8275e-05,5.8275e-05,5.8275e-05
52,1431.31,0.39961,0.453,0.96215,0.91935,0.85545,0.93743,0.78498,0.78233,0.59697,1.21523,5.27805e-05,5.27805e-05,5.27805e-05
53,1457.78,0.40257,0.45047,0.97177,0.91711,0.86829,0.94165,0.783,0.77144,0.60312,1.21025,4.7286e-05,4.7286e-05,4.7286e-05
54,1484.01,0.39301,0.43164,0.96168,0.93267,0.86546,0.94686,0.77252,0.83796,0.59865,1.28897,4.17915e-05,4.17915e-05,4.17915e-05
55,1510.23,0.38856,0.4247,0.96803,0.92008,0.8699,0.93885,0.77055,0.81758,0.56767,1.25342,3.6297e-05,3.6297e-05,3.6297e-05
56,1536.5,0.3768,0.41626,0.9502,0.91319,0.86447,0.94176,0.76628,0.85012,0.58308,1.29594,3.08025e-05,3.08025e-05,3.08025e-05
57,1562.29,0.37084,0.41201,0.95039,0.8956,0.87932,0.9402,0.78718,0.79142,0.55914,1.24105,2.5308e-05,2.5308e-05,2.5308e-05
58,1588.51,0.36793,0.40445,0.94778,0.92195,0.87688,0.94467,0.77238,0.82152,0.56529,1.2702,1.98135e-05,1.98135e-05,1.98135e-05
59,1614.59,0.3659,0.40317,0.94743,0.91869,0.86802,0.94269,0.78384,0.80187,0.55722,1.25153,1.4319e-05,1.4319e-05,1.4319e-05
60,1641.07,0.36999,0.40295,0.94751,0.91909,0.88328,0.94564,0.78875,0.78397,0.54061,1.23497,8.8245e-06,8.8245e-06,8.8245e-06
